ukmcs_variable_name,ukmcs_variable_label,mcs_variables_value_labels,combined_labels
ADC11E00,DV Cohort Member Ethnic Group - 11 category Census class,1.0 = White; 2.0 = Mixed; 3.0 = Indian; 4.0 = Pakistani; 5.0 = Bangladeshi; 6.0 = Other Asian; 7.0 = Black Caribbean; 8.0 = Black African; 9.0 = Other Black; 10.0 = Chinese; 11.0 = Other Ethnic group; -9.0 = Refusal; -8.0 = Don't Know,DV Cohort Member Ethnic Group - 11 category Census class: 1.0 = White; 2.0 = Mixed; 3.0 = Indian; 4.0 = Pakistani; 5.0 = Bangladeshi; 6.0 = Other Asian; 7.0 = Black Caribbean; 8.0 = Black African; 9.0 = Other Black; 10.0 = Chinese; 11.0 = Other Ethnic group; -9.0 = Refusal; -8.0 = Don't Know
ADC08E00,DV Cohort Member Ethnic Group - 8 category classification   ,"1.0 = White; 2.0 = Mixed; 3.0 = Indian; 4.0 = Pakistani; 5.0 = Bangladeshi; 6.0 = Black Caribbean; 7.0 = Black African; 8.0 = Other Ethnic group (inc Chinese,Other); -9.0 = Refusal; -8.0 = Don't Know","DV Cohort Member Ethnic Group - 8 category classification   : 1.0 = White; 2.0 = Mixed; 3.0 = Indian; 4.0 = Pakistani; 5.0 = Bangladeshi; 6.0 = Black Caribbean; 7.0 = Black African; 8.0 = Other Ethnic group (inc Chinese,Other); -9.0 = Refusal; -8.0 = Don't Know"
ADBWGT00,DV Cohort Member birth weight in kilos  ,-8.0 = Don't Know,DV Cohort Member birth weight in kilos  : -8.0 = Don't Know
ADERLT00,DV Birth of Cohort Member: Number of days early or lat  ,,DV Birth of Cohort Member: Number of days early or lat  : 
ADGEST00,DV Cohort Member Gestation time in days ,-8.0 = Not known; -1.0 = Not applicable,DV Cohort Member Gestation time in days : -8.0 = Not known; -1.0 = Not applicable
ADLSTW00,DV Cohort Member most recent weight in kilos,-8.0 = Not known; -1.0 = Not applicable,DV Cohort Member most recent weight in kilos: -8.0 = Not known; -1.0 = Not applicable
ADAGLW00,DV Cohort Member Age post-term in days when last weighed,-999.0 = Not applicable; -997.0 = No valid date information,DV Cohort Member Age post-term in days when last weighed: -999.0 = Not applicable; -997.0 = No valid date information
ADCEEA00,DV Cohort Member Ethnic Group merged (England)  ,,DV Cohort Member Ethnic Group merged (England)  : 
ADCEWA00,DV Cohort Member Ethnic Group (merged) (Wales)  ,,DV Cohort Member Ethnic Group (merged) (Wales)  : 
ADCESA00,DV Cohort Member Ethnic Group (merged) (Scotland)   ,,DV Cohort Member Ethnic Group (merged) (Scotland)   : 
ADCENA00,DV Cohort Member Ethnic Group (merged) (N Ireland)  ,,DV Cohort Member Ethnic Group (merged) (N Ireland)  : 
ACMCBCODE_22,Mother's country of birth (ISO 3166) : Top coded to two letter country code or  ,,Mother's country of birth (ISO 3166) : Top coded to two letter country code or  : 
ACFCBCODE_22,Father's country of birth : Top coded to two letter country code or Continent   ,,Father's country of birth : Top coded to two letter country code or Continent   : 
AACTRY00,"ADMIN Country at interview (E,W,S,NI)   ","1.0 = England; 2.0 = Wales; 3.0 = Scotland, 1.0 = England; 2.0 = Wales; 3.0 = Scotland","ADMIN Country at interview (E,W,S,NI)   : 1.0 = England; 2.0 = Wales; 3.0 = Scotland, 1.0 = England; 2.0 = Wales; 3.0 = Scotland"
AAREGN00,Interview Government Office Region  ,1.0 = North East; 2.0 = North West; 3.0 = Yorkshire and the Humber; 4.0 = East Midlands; 5.0 = West Midlands; 6.0 = East of England; 7.0 = London; 8.0 = South East; 9.0 = South West; 10.0 = Wales; 11.0 = Scotland; 12.0 = Northern Ireland,Interview Government Office Region  : 1.0 = North East; 2.0 = North West; 3.0 = Yorkshire and the Humber; 4.0 = East Midlands; 5.0 = West Midlands; 6.0 = East of England; 7.0 = London; 8.0 = South East; 9.0 = South West; 10.0 = Wales; 11.0 = Scotland; 12.0 = Northern Ireland
ADRSPO00,DV Parent Interview response summary,"1.0 = Main respondent in person; 2.0 = Main and partner respondent in person; 3.0 = Main in person, partner by proxy; 4.0 = Main in person, partner eligible but no","DV Parent Interview response summary: 1.0 = Main respondent in person; 2.0 = Main and partner respondent in person; 3.0 = Main in person, partner by proxy; 4.0 = Main in person, partner eligible but no"
ADHTYP00,DV Parents/Carers in Household  ,1.0 = Both natural parents; 2.0 = Natural mother and step-parent; 3.0 = Natural mother and partner; 4.0 = Natural mother and adoptive parent; 5.0 = Natural father and adoptive parent; 6.0 = Two adoptive parents; 7.0 = Two foster parents; 8.0 = Two grandparents; 9.0 = Grandmother and partner; 10.0 = Natural mother only; 11.0 = Natural father only; 12.0 = Foster mother only,DV Parents/Carers in Household  : 1.0 = Both natural parents; 2.0 = Natural mother and step-parent; 3.0 = Natural mother and partner; 4.0 = Natural mother and adoptive parent; 5.0 = Natural father and adoptive parent; 6.0 = Two adoptive parents; 7.0 = Two foster parents; 8.0 = Two grandparents; 9.0 = Grandmother and partner; 10.0 = Natural mother only; 11.0 = Natural father only; 12.0 = Foster mother only
ADHTYS00,DV Summary of Parents/Carers in Household   ,1.0 = Two parents/carers,DV Summary of Parents/Carers in Household   : 1.0 = Two parents/carers
ADRELP00,DV Relationship between Parents/Carers in Household ,1.0 = Married; 2.0 = Cohabiting; 3.0 = Neither,DV Relationship between Parents/Carers in Household : 1.0 = Married; 2.0 = Cohabiting; 3.0 = Neither
ADNATM00,DV Natural mother status,"1.0 = Resident full-time in household; 2.0 = Resident part-time in household; 3.0 = Deceased; 4.0 = Non-resident, in contact; 5.0 = Non-resident, not in contact","DV Natural mother status: 1.0 = Resident full-time in household; 2.0 = Resident part-time in household; 3.0 = Deceased; 4.0 = Non-resident, in contact; 5.0 = Non-resident, not in contact"
ADMINH00,DV Natural mother in HH ,1.0 = Resident in household; 2.0 = Not resident in household; 3.0 = Deceased,DV Natural mother in HH : 1.0 = Resident in household; 2.0 = Not resident in household; 3.0 = Deceased
ADNATF00,DV Natural father status,"1.0 = Resident full-time in household; 2.0 = Resident part-time in household; 3.0 = Deceased; 4.0 = Non-resident, in contact; 5.0 = Non-resident, not in contact","DV Natural father status: 1.0 = Resident full-time in household; 2.0 = Resident part-time in household; 3.0 = Deceased; 4.0 = Non-resident, in contact; 5.0 = Non-resident, not in contact"
ADFINH00,DV Natural father in HH ,1.0 = Resident in household; 2.0 = Not resident in household; 3.0 = Deceased,DV Natural father in HH : 1.0 = Resident in household; 2.0 = Not resident in household; 3.0 = Deceased
ADOTHS00,DV Number of siblings of CM in household,,DV Number of siblings of CM in household: 
ADNOCM00,DV Number of CM in household,,DV Number of CM in household: 
ADTOTS00,DV Number of siblings in household plus number of CM's  ,,DV Number of siblings in household plus number of CM's  : 
ADNSIB00,DV Natural siblings of CM in household  ,1.0 = Natural sib in HH,DV Natural siblings of CM in household  : 1.0 = Natural sib in HH
ADHSIB00,DV Half siblings of CM in household ,1.0 = Half sib in HH,DV Half siblings of CM in household : 1.0 = Half sib in HH
ADSSIB00,DV Step siblings of CM in household ,1.0 = Step sib in HH,DV Step siblings of CM in household : 1.0 = Step sib in HH
ADASIB00,DV Adoptive siblings of CM in household ,1.0 = Adoptive sib in HH,DV Adoptive siblings of CM in household : 1.0 = Adoptive sib in HH
ADFSIB00,DV Whether any foster siblings in household ,1.0 = Foster sib in HH,DV Whether any foster siblings in household : 1.0 = Foster sib in HH
ADGPAR00,DV Grandparent of CM in household   ,1.0 = Grandparent in HH,DV Grandparent of CM in household   : 1.0 = Grandparent in HH
ADOTHA00,DV Whether any other adults in household,1.0 = Other adult in HH; 2.0 = No other adult in HH,DV Whether any other adults in household: 1.0 = Other adult in HH; 2.0 = No other adult in HH
ADNMHD00,DV Number of people in household (not including CM) ,,DV Number of people in household (not including CM) : 
ADTOTP00,DV Number of people in household (including CM's)   ,,DV Number of people in household (including CM's)   : 
ADCWRK00,DV Combined labour market status of Main and Partner,"1.0 = Both in work; 2.0 = Main in work, partner not; 3.0 = Partner in work, main not; 4.0 = Both not in work; 5.0 = Main in work or on leave, no partner; 6.0 = Main not on work nor on leave, no partner; 7.0 = Main work status unknown, partner in work; 8.0 = Main work status unknown, partner not in work; 9.0 = Main in work, partner status unknown; 10.0 = Main not in work, partner status unknown; 11.0 = Main working status unknown, no partner; -9.0 = Refusal; -8.0 = Don't Know","DV Combined labour market status of Main and Partner: 1.0 = Both in work; 2.0 = Main in work, partner not; 3.0 = Partner in work, main not; 4.0 = Both not in work; 5.0 = Main in work or on leave, no partner; 6.0 = Main not on work nor on leave, no partner; 7.0 = Main work status unknown, partner in work; 8.0 = Main work status unknown, partner not in work; 9.0 = Main in work, partner status unknown; 10.0 = Main not in work, partner status unknown; 11.0 = Main working status unknown, no partner; -9.0 = Refusal; -8.0 = Don't Know"
ADHINC00,DV Family Income (banded)   ,96.0 = Don't Know; 1.0 = £0 to less than £3100 pa; 2.0 = £3100 to less than £10400 pa; 3.0 = £10400 to less than £20800 pa; 4.0 = £20800 to less than £31200 pa; 5.0 = £31200 to less than £52000 pa; 6.0 = £52000 and above pa; 97.0 = Refused; -6.0 = Partial interview,DV Family Income (banded)   : 96.0 = Don't Know; 1.0 = £0 to less than £3100 pa; 2.0 = £3100 to less than £10400 pa; 3.0 = £10400 to less than £20800 pa; 4.0 = £20800 to less than £31200 pa; 5.0 = £31200 to less than £52000 pa; 6.0 = £52000 and above pa; 97.0 = Refused; -6.0 = Partial interview
ADONBE00,"Family receiving JSA, IS, WFTC and/or DPTC  ",0.0 = Not on any of these benefits; 1.0 = On one or more of these benefits; -9.0 = Refusal; -8.0 = Don't Know,"Family receiving JSA, IS, WFTC and/or DPTC  : 0.0 = Not on any of these benefits; 1.0 = On one or more of these benefits; -9.0 = Refusal; -8.0 = Don't Know"
ADTIMA00,DV Total time at current address in months  ,-9.0 = Refusal; -8.0 = Don't Know; -6.0 = Partial Interview,DV Total time at current address in months  : -9.0 = Refusal; -8.0 = Don't Know; -6.0 = Partial Interview
ADOUT300,DV 3 digit outcome field,"-8.0 = Don't Know; 111.0 = Main respondent in person; 112.0 = Main and partner respondent in person; 440.0 = Refusal after household module; 211.0 = Main in person, partner eligible in per; 212.0 = Main in person, partner eligible by pro; 213.0 = Partner in person, main respondent not; -9.0 = Refusal; 120.0 = All eligible respondents: in person and","DV 3 digit outcome field: -8.0 = Don't Know; 111.0 = Main respondent in person; 112.0 = Main and partner respondent in person; 440.0 = Refusal after household module; 211.0 = Main in person, partner eligible in per; 212.0 = Main in person, partner eligible by pro; 213.0 = Partner in person, main respondent not; -9.0 = Refusal; 120.0 = All eligible respondents: in person and"
ADERTY00,DV Fieldwork errors ,"1.0 = Proxy module done in error; 2.0 = Part int done by proxy in error; 3.0 = Part ans proxy in person should be norm; 4.0 = Main done by father, partner by mother; 5.0 = Father did both main interview and part; 6.0 = Main done by part, no other interview; 7.0 = Grandmother was incorrectly coded as na; -9.0 = Refusal; -8.0 = Don't Know","DV Fieldwork errors : 1.0 = Proxy module done in error; 2.0 = Part int done by proxy in error; 3.0 = Part ans proxy in person should be norm; 4.0 = Main done by father, partner by mother; 5.0 = Father did both main interview and part; 6.0 = Main done by part, no other interview; 7.0 = Grandmother was incorrectly coded as na; -9.0 = Refusal; -8.0 = Don't Know"
ADDUAL00,Dual Baby Families  ,,Dual Baby Families  : 
ADCNTR00,Country of Interview,1.0 = England; 2.0 = Wales; 3.0 = Scotland,Country of Interview: 1.0 = England; 2.0 = Wales; 3.0 = Scotland
ADPTTY00,Point type  ,1.0 = Advantaged; 2.0 = Disadvantaged,Point type  : 1.0 = Advantaged; 2.0 = Disadvantaged
ADPTY200,Stratum within Country  ,1.0 = England - Advantaged; 2.0 = England - Disadvantaged; 3.0 = England - Ethnic; 4.0 = Wales - Advantaged; 5.0 = Wales - Disadvantaged; 6.0 = Scotland - Advantaged; 7.0 = Scotland - Disadvantaged; 8.0 = Northern Ireland - Advantaged,Stratum within Country  : 1.0 = England - Advantaged; 2.0 = England - Disadvantaged; 3.0 = England - Ethnic; 4.0 = Wales - Advantaged; 5.0 = Wales - Disadvantaged; 6.0 = Scotland - Advantaged; 7.0 = Scotland - Disadvantaged; 8.0 = Northern Ireland - Advantaged
ADWGT100,MCS Weight for use on single country analyses   ,,MCS Weight for use on single country analyses   : 
ADWGT200,MCS Weight to use on whole UK analyses  ,,MCS Weight to use on whole UK analyses  : 
ADOEDS00,DV Equivalised family income OECD scores,,DV Equivalised family income OECD scores: 
ADOEDE00,DV OECD equivalised income  ,,DV OECD equivalised income  : 
ADOEDP00,DV OECD below 60% median poverty indicator  ,0.0 = Above 60% median; 1.0 = Below 60% median,DV OECD below 60% median poverty indicator  : 0.0 = Above 60% median; 1.0 = Below 60% median
ADMCSC00,DV McClements Score ,,DV McClements Score : 
ADMCEQ00,DV McClements equivalised income,,DV McClements equivalised income: 
ADMCPO00,DV McClements below 60% median poverty indicator,0.0 = Above 60% median; 1.0 = Below 60% median,DV McClements below 60% median poverty indicator: 0.0 = Above 60% median; 1.0 = Below 60% median
APTPCHCK,HHGrid:Check for part-time resident parent  ,1.0 = Yes; 2.0 = No; 3.0 = (^fmtxt has died); -9.0 = Refusal; -8.0 = Don't Know,HHGrid:Check for part-time resident parent  : 1.0 = Yes; 2.0 = No; 3.0 = (^fmtxt has died); -9.0 = Refusal; -8.0 = Don't Know
APTPDEAD,HHGrid:Natural parent died before or after birth,1.0 = Before; 2.0 = After; -9.0 = Refusal; -8.0 = Don't Know,HHGrid:Natural parent died before or after birth: 1.0 = Before; 2.0 = After; -9.0 = Refusal; -8.0 = Don't Know
ADROOW00,DV Housing Tenure   ,"-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Own outright; 2.0 = Own - mortgage/loan; 3.0 = Part rent/part mortgage (shared equity); 4.0 = Rent from local authority; 5.0 = Rent from Housing Association; 6.0 = Rent privately; 7.0 = Living with parents; 8.0 = Live rent free; 9.0 = Squatting, 1.0 = Own outright; 2.0 = Own - mortgage/loan; 3.0 = Part rent/part mortgage (shared equity); 4.0 = Rent from local authority; 5.0 = Rent from Housing Association; 6.0 = Rent privately; 7.0 = Living with parents; 8.0 = Live rent free; 9.0 = Squatting; 10.0 = Other; -9.0 = Refusal; -8.0 = Don't Know","DV Housing Tenure   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Own outright; 2.0 = Own - mortgage/loan; 3.0 = Part rent/part mortgage (shared equity); 4.0 = Rent from local authority; 5.0 = Rent from Housing Association; 6.0 = Rent privately; 7.0 = Living with parents; 8.0 = Live rent free; 9.0 = Squatting, 1.0 = Own outright; 2.0 = Own - mortgage/loan; 3.0 = Part rent/part mortgage (shared equity); 4.0 = Rent from local authority; 5.0 = Rent from Housing Association; 6.0 = Rent privately; 7.0 = Living with parents; 8.0 = Live rent free; 9.0 = Squatting; 10.0 = Other; -9.0 = Refusal; -8.0 = Don't Know"
ADMHGT00,Natural Mothers Height in Metres,-8.0 = Don't Know; -1.0 = Not applicable,Natural Mothers Height in Metres: -8.0 = Don't Know; -1.0 = Not applicable
ADHLAN00,DV Language Spoken in household ,"1.0 = Yes - English only; 2.0 = Yes - mostly English-sometimes other; 3.0 = Yes - about half English and half other; 4.0 = No - mostly other, sometimes English; 5.0 = No - other language(s) only; -9.0 = Refusal; -8.0 = Don''t Know","DV Language Spoken in household : 1.0 = Yes - English only; 2.0 = Yes - mostly English-sometimes other; 3.0 = Yes - about half English and half other; 4.0 = No - mostly other, sometimes English; 5.0 = No - other language(s) only; -9.0 = Refusal; -8.0 = Don''t Know"
ADMBMI00,DV Natural Mothers BMI at Interview ,-8.0 = Dont Know / Refused; -2.0 = No measurement mother pregnant,DV Natural Mothers BMI at Interview : -8.0 = Dont Know / Refused; -2.0 = No measurement mother pregnant
ADMBMIPRE,DV Natural Mothers BMI before CM,-8.0 = Don't Know; -1.0 = Not applicable,DV Natural Mothers BMI before CM: -8.0 = Don't Know; -1.0 = Not applicable
ADINCFLAG,DV Flag for imputed income  ,1.0 = Imputed; 2.0 = Replaced with band midpoint,DV Flag for imputed income  : 1.0 = Imputed; 2.0 = Replaced with band midpoint
AOEDEX00,DV PREDICTED weekly net family income   ,,DV PREDICTED weekly net family income   : 
AOECDUK0,DV OECD Income Weighted Quintiles (UK Analysis) ,1.0 = Lowest quintile; 2.0 = Second quintile; 3.0 = Third quintile; 4.0 = Fourth quintile; 5.0 = Highest quintile,DV OECD Income Weighted Quintiles (UK Analysis) : 1.0 = Lowest quintile; 2.0 = Second quintile; 3.0 = Third quintile; 4.0 = Fourth quintile; 5.0 = Highest quintile
AOECDSC0,DV OECD Income Weighted Quintiles (Single Country Analysis) ,1.0 = Lowest quintile; 2.0 = Second quintile; 3.0 = Third quintile; 4.0 = Fourth quintile; 5.0 = Highest quintile; -1.0 = Not applicable,DV OECD Income Weighted Quintiles (Single Country Analysis) : 1.0 = Lowest quintile; 2.0 = Second quintile; 3.0 = Third quintile; 4.0 = Fourth quintile; 5.0 = Highest quintile; -1.0 = Not applicable
APNUM00,"Person number within an MCS family (excl Cohort Members, see CNUM)  ",,"Person number within an MCS family (excl Cohort Members, see CNUM)  : "
AHCSEX00,Cohort Member Sex   ,-1.0 = Not applicable; 1.0 = Male,Cohort Member Sex   : -1.0 = Not applicable; 1.0 = Male
AHCDBM00,Cohort Member Date of Birth (month) ,,Cohort Member Date of Birth (month) : 
AHCDBY00,Cohort Member Date of Birth (year)  ,,Cohort Member Date of Birth (year)  : 
AHCAGE00,CM Age at interview (days)  ,,CM Age at interview (days)  : 
AHCPRS00,CM Present in Sweep 1   ,-9.0 = Missing value -9; -8.0 = Missing value -8; -1.0 = Not applicable,CM Present in Sweep 1   : -9.0 = Missing value -9; -8.0 = Missing value -8; -1.0 = Not applicable
AHPSEX00,Person Sex  ,-9.0 = Missing value -9; -2.0 = Unknown; -1.0 = Not applicable; 1.0 = Male,Person Sex  : -9.0 = Missing value -9; -2.0 = Unknown; -1.0 = Not applicable; 1.0 = Male
AHPDBM00,Person Date of Birth (month),-9.0 = Missing value -9; -2.0 = Unknown,Person Date of Birth (month): -9.0 = Missing value -9; -2.0 = Unknown
AHPDBY00,Person Date of Birth (year) ,-9.0 = Missing value -9; -8.0 = Missing value -8; -2.0 = Unknown,Person Date of Birth (year) : -9.0 = Missing value -9; -8.0 = Missing value -8; -2.0 = Unknown
AHPRES00,Present in Sweep 1  ,-9.0 = Missing value -9; -8.0 = Missing value -8; -1.0 = Not applicable,Present in Sweep 1  : -9.0 = Missing value -9; -8.0 = Missing value -8; -1.0 = Not applicable
AHPAGE00,Person Age (years)  ,-9.0 = Missing value -9; -8.0 = Missing value -8; -2.0 = Unknown,Person Age (years)  : -9.0 = Missing value -9; -8.0 = Missing value -8; -2.0 = Unknown
AHCREL00,Relationship to Cohort Member   ,-9.0 = Refusal; -8.0 = Dont Know; -1.0 = Not available; 1.0 = Husband/Wife; 2.0 = Partner/Cohabitee; 3.0 = Natural son/daughter; 4.0 = Adopted son/daughter; 5.0 = Foster son/daughter; 6.0 = Step-son/ step-daughter; 7.0 = Natural parent; 8.0 = Adoptive parent; 9.0 = Foster parent; 10.0 = Step-parent/partner of parent; 11.0 = Natural brother/Natural sister; 12.0 = Half-brother/Half-sister; 13.0 = Step-brother/Step-sister; 14.0 = Adopted brother/Adopted sister; 15.0 = Foster brother/Foster sister; 16.0 = Grandchild; 17.0 = Grandparent; 18.0 = Nanny/au pair; 19.0 = Other relative; 20.0 = Other non-relative,Relationship to Cohort Member   : -9.0 = Refusal; -8.0 = Dont Know; -1.0 = Not available; 1.0 = Husband/Wife; 2.0 = Partner/Cohabitee; 3.0 = Natural son/daughter; 4.0 = Adopted son/daughter; 5.0 = Foster son/daughter; 6.0 = Step-son/ step-daughter; 7.0 = Natural parent; 8.0 = Adoptive parent; 9.0 = Foster parent; 10.0 = Step-parent/partner of parent; 11.0 = Natural brother/Natural sister; 12.0 = Half-brother/Half-sister; 13.0 = Step-brother/Step-sister; 14.0 = Adopted brother/Adopted sister; 15.0 = Foster brother/Foster sister; 16.0 = Grandchild; 17.0 = Grandparent; 18.0 = Nanny/au pair; 19.0 = Other relative; 20.0 = Other non-relative
