echo_variable_name,echo_variable_label,echo_variable_value_coded_labels,combined_labels
ifp_a03___4,"3. In the past 2 weeks, which of the following was the child given in vitamin or mineral drops or pills at least 3 days a week? If the child was given drops or pills that contained more than one of the items listed, please mark each of the separate items. [Check all that apply]: Multivitamins","Multivitamins: No, Multivitamins: Yes","3. In the past 2 weeks, which of the following was the child given in vitamin or mineral drops or pills at least 3 days a week? If the child was given drops or pills that contained more than one of the items listed, please mark each of the separate items. [Check all that apply]: Multivitamins: Multivitamins: No, Multivitamins: Yes"
ifp_a03___5,"3. In the past 2 weeks, which of the following was the child given in vitamin or mineral drops or pills at least 3 days a week? If the child was given drops or pills that contained more than one of the items listed, please mark each of the separate items. [Check all that apply]: Fish oil","Fish oil: No, Fish oil: Yes","3. In the past 2 weeks, which of the following was the child given in vitamin or mineral drops or pills at least 3 days a week? If the child was given drops or pills that contained more than one of the items listed, please mark each of the separate items. [Check all that apply]: Fish oil: Fish oil: No, Fish oil: Yes"
ifp_a03___6,"3. In the past 2 weeks, which of the following was the child given in vitamin or mineral drops or pills at least 3 days a week? If the child was given drops or pills that contained more than one of the items listed, please mark each of the separate items. [Check all that apply]: DHA","DHA: No, DHA: Yes","3. In the past 2 weeks, which of the following was the child given in vitamin or mineral drops or pills at least 3 days a week? If the child was given drops or pills that contained more than one of the items listed, please mark each of the separate items. [Check all that apply]: DHA: DHA: No, DHA: Yes"
ifp_a03___7,"3. In the past 2 weeks, which of the following was the child given in vitamin or mineral drops or pills at least 3 days a week? If the child was given drops or pills that contained more than one of the items listed, please mark each of the separate items. [Check all that apply]: EPA","EPA: No, EPA: Yes","3. In the past 2 weeks, which of the following was the child given in vitamin or mineral drops or pills at least 3 days a week? If the child was given drops or pills that contained more than one of the items listed, please mark each of the separate items. [Check all that apply]: EPA: EPA: No, EPA: Yes"
ifp_a03___8,"3. In the past 2 weeks, which of the following was the child given in vitamin or mineral drops or pills at least 3 days a week? If the child was given drops or pills that contained more than one of the items listed, please mark each of the separate items. [Check all that apply]: Prebiotic","Prebiotic: No, Prebiotic: Yes","3. In the past 2 weeks, which of the following was the child given in vitamin or mineral drops or pills at least 3 days a week? If the child was given drops or pills that contained more than one of the items listed, please mark each of the separate items. [Check all that apply]: Prebiotic: Prebiotic: No, Prebiotic: Yes"
ifp_a03___9,"3. In the past 2 weeks, which of the following was the child given in vitamin or mineral drops or pills at least 3 days a week? If the child was given drops or pills that contained more than one of the items listed, please mark each of the separate items. [Check all that apply]: Probiotic","Probiotic: No, Probiotic: Yes","3. In the past 2 weeks, which of the following was the child given in vitamin or mineral drops or pills at least 3 days a week? If the child was given drops or pills that contained more than one of the items listed, please mark each of the separate items. [Check all that apply]: Probiotic: Probiotic: No, Probiotic: Yes"
ifp_a03___10,"3. In the past 2 weeks, which of the following was the child given in vitamin or mineral drops or pills at least 3 days a week? If the child was given drops or pills that contained more than one of the items listed, please mark each of the separate items. [Check all that apply]: Other vitamins","Other vitamins: No, Other vitamins: Yes","3. In the past 2 weeks, which of the following was the child given in vitamin or mineral drops or pills at least 3 days a week? If the child was given drops or pills that contained more than one of the items listed, please mark each of the separate items. [Check all that apply]: Other vitamins: Other vitamins: No, Other vitamins: Yes"
ifp_a03___11,"3. In the past 2 weeks, which of the following was the child given in vitamin or mineral drops or pills at least 3 days a week? If the child was given drops or pills that contained more than one of the items listed, please mark each of the separate items. [Check all that apply]: None of these","None of these: No, None of these: Yes","3. In the past 2 weeks, which of the following was the child given in vitamin or mineral drops or pills at least 3 days a week? If the child was given drops or pills that contained more than one of the items listed, please mark each of the separate items. [Check all that apply]: None of these: None of these: No, None of these: Yes"
ifp_a03____8,"3. In the past 2 weeks, which of the following was the child given in vitamin or mineral drops or pills at least 3 days a week? If the child was given drops or pills that contained more than one of the items listed, please mark each of the separate items. [Check all that apply]: Don't know","Don't know: No, Don't know: Yes","3. In the past 2 weeks, which of the following was the child given in vitamin or mineral drops or pills at least 3 days a week? If the child was given drops or pills that contained more than one of the items listed, please mark each of the separate items. [Check all that apply]: Don't know: Don't know: No, Don't know: Yes"
ifp_a04,"4. In the past 2 weeks, how often was the child put to bed with a bottle of formula, breast milk, juice, juice drink, or any other kind of milk?","At most bedtimes, including naps, At most night bedtimes, but not naps, At most naps, but not night bedtimes, Only occasionally at bedtimes, including naps, Never, Not applicable, Declined, Don't know, Missing","4. In the past 2 weeks, how often was the child put to bed with a bottle of formula, breast milk, juice, juice drink, or any other kind of milk?: At most bedtimes, including naps, At most night bedtimes, but not naps, At most naps, but not night bedtimes, Only occasionally at bedtimes, including naps, Never, Not applicable, Declined, Don't know, Missing"
ifp_a05a,"5. Have you obtained information about feeding infants from any of the following sources?: a. Doctor, nurse, or other health professional","Yes, No, Not applicable, Declined, Don't know, Missing","5. Have you obtained information about feeding infants from any of the following sources?: a. Doctor, nurse, or other health professional: Yes, No, Not applicable, Declined, Don't know, Missing"
ifp_a05b,5. Have you obtained information about feeding infants from any of the following sources?: b. WIC food program,"Yes, No, Not applicable, Declined, Don't know, Missing","5. Have you obtained information about feeding infants from any of the following sources?: b. WIC food program: Yes, No, Not applicable, Declined, Don't know, Missing"
ifp_a05c,5. Have you obtained information about feeding infants from any of the following sources?: c. Baby care class or support group,"Yes, No, Not applicable, Declined, Don't know, Missing","5. Have you obtained information about feeding infants from any of the following sources?: c. Baby care class or support group: Yes, No, Not applicable, Declined, Don't know, Missing"
ifp_a05d,5. Have you obtained information about feeding infants from any of the following sources?: d. Relative or friend,"Yes, No, Not applicable, Declined, Don't know, Missing","5. Have you obtained information about feeding infants from any of the following sources?: d. Relative or friend: Yes, No, Not applicable, Declined, Don't know, Missing"
ifp_a05e,5. Have you obtained information about feeding infants from any of the following sources?: e. Books or videos,"Yes, No, Not applicable, Declined, Don't know, Missing","5. Have you obtained information about feeding infants from any of the following sources?: e. Books or videos: Yes, No, Not applicable, Declined, Don't know, Missing"
ifp_a05f,5. Have you obtained information about feeding infants from any of the following sources?: f. Newsletters,"Yes, No, Not applicable, Declined, Don't know, Missing","5. Have you obtained information about feeding infants from any of the following sources?: f. Newsletters: Yes, No, Not applicable, Declined, Don't know, Missing"
ifp_a05g,5. Have you obtained information about feeding infants from any of the following sources?: g. Newspapers or magazines,"Yes, No, Not applicable, Declined, Don't know, Missing","5. Have you obtained information about feeding infants from any of the following sources?: g. Newspapers or magazines: Yes, No, Not applicable, Declined, Don't know, Missing"
ifp_a05h,5. Have you obtained information about feeding infants from any of the following sources?: h. Television or radio,"Yes, No, Not applicable, Declined, Don't know, Missing","5. Have you obtained information about feeding infants from any of the following sources?: h. Television or radio: Yes, No, Not applicable, Declined, Don't know, Missing"
ifp_a05i,5. Have you obtained information about feeding infants from any of the following sources?: i. Online informational website(s,"Yes, No, Not applicable, Declined, Don't know, Missing","5. Have you obtained information about feeding infants from any of the following sources?: i. Online informational website(s: Yes, No, Not applicable, Declined, Don't know, Missing"
ifp_a05j,5. Have you obtained information about feeding infants from any of the following sources?: j. Social media,"Yes, No, Not applicable, Declined, Don't know, Missing","5. Have you obtained information about feeding infants from any of the following sources?: j. Social media: Yes, No, Not applicable, Declined, Don't know, Missing"
ifp_a5k,"5. Have you obtained information about feeding infants from any of the following sources?: k. Other, specify","Yes, No, Not applicable, Declined, Don't know, Missing","5. Have you obtained information about feeding infants from any of the following sources?: k. Other, specify: Yes, No, Not applicable, Declined, Don't know, Missing"
xifp_a5k_sp,5. Have you obtained information about feeding infants from any of the following sources?: Specify (de-identified),,5. Have you obtained information about feeding infants from any of the following sources?: Specify (de-identified): 
ifp_b01,1. Did the biological mother ever breastfeed the child or feed the child her pumped breast milk?,"Yes, No, Not applicable, Declined, Don't know, Missing","1. Did the biological mother ever breastfeed the child or feed the child her pumped breast milk?: Yes, No, Not applicable, Declined, Don't know, Missing"
ifp_b02,2. How long after birth did the biological mother first put the child on the breast?,"Immediately, Less than one hour, More than one hour, less than 24 hours, 24 hours or more, Not applicable, Declined, Don't know, Missing","2. How long after birth did the biological mother first put the child on the breast?: Immediately, Less than one hour, More than one hour, less than 24 hours, 24 hours or more, Not applicable, Declined, Don't know, Missing"
ifp_b02a,2.a. How many hours?,,2.a. How many hours?: 
ifp_b02b,2.b. How many days?,,2.b. How many days?: 
ifp_b03,3. Did the biological mother have to supplement her breast milk with Human Milk Fortifier (HMF)?,"Yes, No, Not applicable, Declined, Don't know, Missing","3. Did the biological mother have to supplement her breast milk with Human Milk Fortifier (HMF)?: Yes, No, Not applicable, Declined, Don't know, Missing"
ifp_b04,4. Has the biological mother completely stopped breastfeeding and pumping milk for the child?,"Yes, No, Not applicable, Declined, Don't know, Missing","4. Has the biological mother completely stopped breastfeeding and pumping milk for the child?: Yes, No, Not applicable, Declined, Don't know, Missing"
ifp_b04a,4.a. Did the biological mother breastfeed the child as long as she wanted to?,"Yes, No, Not applicable, Declined, Don't know, Missing","4.a. Did the biological mother breastfeed the child as long as she wanted to?: Yes, No, Not applicable, Declined, Don't know, Missing"
ifp_b04b_days,4.b. How old was the child when the child's biological mother completely stopped breastfeeding and pumping milk?: Days (if younger than 2 weeks,,4.b. How old was the child when the child's biological mother completely stopped breastfeeding and pumping milk?: Days (if younger than 2 weeks: 
ifp_b04b_wks,4.b. How old was the child when the child's biological mother completely stopped breastfeeding and pumping milk?: Weeks,,4.b. How old was the child when the child's biological mother completely stopped breastfeeding and pumping milk?: Weeks: 
ifp_b04b_mnths,4.b. How old was the child when the child's biological mother completely stopped breastfeeding and pumping milk?: Months,,4.b. How old was the child when the child's biological mother completely stopped breastfeeding and pumping milk?: Months: 
ifp_b04b_dk____8,4.b. How old was the child when the child's biological mother completely stopped breastfeeding and pumping milk?: Don't know,"Don't know: No, Don't know: Yes","4.b. How old was the child when the child's biological mother completely stopped breastfeeding and pumping milk?: Don't know: Don't know: No, Don't know: Yes"
ifp_b05,5. Does the child usually feed from both breasts at each feeding?,"Yes, No, Baby is only fed pumped milk, Not applicable, Declined, Don't know, Missing","5. Does the child usually feed from both breasts at each feeding?: Yes, No, Baby is only fed pumped milk, Not applicable, Declined, Don't know, Missing"
ifp_b06,6. Does the child usually let go of the breast him or herself?,"Yes, both breasts, Yes, first breast only, Yes, second breast only, No, Not applicable, Declined, Don't know, Missing","6. Does the child usually let go of the breast him or herself?: Yes, both breasts, Yes, first breast only, Yes, second breast only, No, Not applicable, Declined, Don't know, Missing"
ifp_b07,7. About how long does an average breastfeeding last?,"Less than 10 minutes, 10-19 minutes, 20-29 minutes, 30-39 minutes, 40-49 minutes, 50 or more minutes, Not applicable, Declined, Don't know, Missing","7. About how long does an average breastfeeding last?: Less than 10 minutes, 10-19 minutes, 20-29 minutes, 30-39 minutes, 40-49 minutes, 50 or more minutes, Not applicable, Declined, Don't know, Missing"
ifp_b08_1,"8. In the past 7 days, was the child breastfed or fed the biological mother's breast milk from a bottle?","Yes, No, Not applicable, Declined, Don't know, Missing","8. In the past 7 days, was the child breastfed or fed the biological mother's breast milk from a bottle?: Yes, No, Not applicable, Declined, Don't know, Missing"
ifp_b08_2_perday,"8. In the past 7 days, was the child breastfed or fed the biological mother's breast milk from a bottle? How often?: Feedings per day",,"8. In the past 7 days, was the child breastfed or fed the biological mother's breast milk from a bottle? How often?: Feedings per day: "
ifp_b08_2_perwk,"8. In the past 7 days, was the child breastfed or fed the biological mother's breast milk from a bottle? How often?: Feedings per week",,"8. In the past 7 days, was the child breastfed or fed the biological mother's breast milk from a bottle? How often?: Feedings per week: "
ifp_b08_2_less___1,"8. In the past 7 days, was the child breastfed or fed the biological mother's breast milk from a bottle? How often?: Less than once per week: Less than once per week","Less than once per week: No, Less than once per week: Yes","8. In the past 7 days, was the child breastfed or fed the biological mother's breast milk from a bottle? How often?: Less than once per week: Less than once per week: Less than once per week: No, Less than once per week: Yes"
ifp_b09_1,"9. In the past 7 days, was the child fed someone else's breast milk (e.g., milk from a milk bank)?","Yes, No, Not applicable, Declined, Don't know, Missing","9. In the past 7 days, was the child fed someone else's breast milk (e.g., milk from a milk bank)?: Yes, No, Not applicable, Declined, Don't know, Missing"
ifp_b09_2_perday,"9. In the past 7 days, was the child fed someone else's breast milk? How often?: Feedings per day",,"9. In the past 7 days, was the child fed someone else's breast milk? How often?: Feedings per day: "
ifp_b09_2_perwk,"9. In the past 7 days, was the child fed someone else's breast milk? How often?: Feedings per week",,"9. In the past 7 days, was the child fed someone else's breast milk? How often?: Feedings per week: "
ifp_b09_2_less___1,"9. In the past 7 days, was the child fed someone else's breast milk? How often?: Less than once per week: Less than once per week","Less than once per week: No, Less than once per week: Yes","9. In the past 7 days, was the child fed someone else's breast milk? How often?: Less than once per week: Less than once per week: Less than once per week: No, Less than once per week: Yes"
ifp_b10_hrs,"10. In an average 24-hour period, what is the LONGEST time between breast feedings or pumping milk? [Please count the time from the start of one breastfeeding or pumping session to the start of the next. ] (hours and minutes): Hours",,"10. In an average 24-hour period, what is the LONGEST time between breast feedings or pumping milk? [Please count the time from the start of one breastfeeding or pumping session to the start of the next. ] (hours and minutes): Hours: "
ifp_b10_min,"10. In an average 24-hour period, what is the LONGEST time between breast feedings or pumping milk? [Please count the time from the start of one breastfeeding or pumping session to the start of the next.] (hours and minutes): Minutes",,"10. In an average 24-hour period, what is the LONGEST time between breast feedings or pumping milk? [Please count the time from the start of one breastfeeding or pumping session to the start of the next.] (hours and minutes): Minutes: "
ifp_b10_dk____8,"10. In an average 24-hour period, what is the LONGEST time between breast feedings or pumping milk?: Don't know","Don't know: No, Don't know: Yes","10. In an average 24-hour period, what is the LONGEST time between breast feedings or pumping milk?: Don't know: Don't know: No, Don't know: Yes"
ifp_b11,"11. In the past 7 days, how many times was the child fed pumped breast milk to drink? [Include breast milk the child's mother expressed in any way as pumped milk.]",,"11. In the past 7 days, how many times was the child fed pumped breast milk to drink? [Include breast milk the child's mother expressed in any way as pumped milk.]: "
ifp_b11_notfed,"11. In the past 7 days, how many times was the child fed pumped breast milk to drink?: Baby was not fed pumped milk/ Don't know","Baby was not fed pumped milk, Not applicable, Declined, Don't know, Missing","11. In the past 7 days, how many times was the child fed pumped breast milk to drink?: Baby was not fed pumped milk/ Don't know: Baby was not fed pumped milk, Not applicable, Declined, Don't know, Missing"
ifp_b12,12. How often does the child drink all of his / her cup or bottle of pumped milk?,"Never, Rarely, Sometimes, Most of the time, Always, Not applicable, Declined, Don't know, Missing","12. How often does the child drink all of his / her cup or bottle of pumped milk?: Never, Rarely, Sometimes, Most of the time, Always, Not applicable, Declined, Don't know, Missing"
ifp_b13,13. How often is the child encouraged to finish a cup or bottle if he / she stops drinking before the pumped breast milk is all gone?,"Never, Rarely, Sometimes, Most of the time, Always, Not applicable, Declined, Don't know, Missing","13. How often is the child encouraged to finish a cup or bottle if he / she stops drinking before the pumped breast milk is all gone?: Never, Rarely, Sometimes, Most of the time, Always, Not applicable, Declined, Don't know, Missing"
ifp_c01,1. Has the child ever been fed formula?,"Yes, No, Not applicable, Declined, Don't know, Missing","1. Has the child ever been fed formula?: Yes, No, Not applicable, Declined, Don't know, Missing"
ifp_c1a_perday,1.a. How old was the child when he / she started drinking formula?: Days (if younger than 2 weeks,,1.a. How old was the child when he / she started drinking formula?: Days (if younger than 2 weeks: 
ifp_c1a_perwk,1.a. How old was the child when he / she started drinking formula?: Weeks,,1.a. How old was the child when he / she started drinking formula?: Weeks: 
ifp_c1a_permon,1.a. How old was the child when he / she started drinking formula?: Months,,1.a. How old was the child when he / she started drinking formula?: Months: 
ifp_c1a_dk____8,"8. In the past 7 days, which formula was fed to the child?: Don't know","Don't know: No, Don't know: Yes","8. In the past 7 days, which formula was fed to the child?: Don't know: Don't know: No, Don't know: Yes"
ifp_c02,"2. In the past 7 days, has the child been fed formula?","Yes, No, Not applicable, Declined, Don't know, Missing","2. In the past 7 days, has the child been fed formula?: Yes, No, Not applicable, Declined, Don't know, Missing"
ifp_c02a_perday,2.a. How often?: feedings per day,,2.a. How often?: feedings per day: 
ifp_c02a_perwk,2.a. How often?: feedings per week,,2.a. How often?: feedings per week: 
ifp_c03,"3. In the past 7 days, how often did the child drink all of his / her bottle of formula?","Never, Rarely, Sometimes, Most of the time, Always, Not applicable, Declined, Don't know, Missing","3. In the past 7 days, how often did the child drink all of his / her bottle of formula?: Never, Rarely, Sometimes, Most of the time, Always, Not applicable, Declined, Don't know, Missing"
ifp_c04,"4. In the past 7 days, about how many ounces of formula did the child drink at each feeding?","1 to 2 ounces, 3 to 4 ounces, 5 to 6 ounces, 7 to 8 ounces, More than 8 ounces, Not applicable, Declined, Don't know, Missing","4. In the past 7 days, about how many ounces of formula did the child drink at each feeding?: 1 to 2 ounces, 3 to 4 ounces, 5 to 6 ounces, 7 to 8 ounces, More than 8 ounces, Not applicable, Declined, Don't know, Missing"
ifp_c05,5. How often is the child encouraged to finish a bottle if he / she stops drinking before the formula is all gone?,"Never, Rarely, Sometimes, Most of the time, Always, Not applicable, Declined, Don't know, Missing","5. How often is the child encouraged to finish a bottle if he / she stops drinking before the formula is all gone?: Never, Rarely, Sometimes, Most of the time, Always, Not applicable, Declined, Don't know, Missing"
ifp_c06,6. Which of the following describes the iron content of the formula the child is usually fed?,"With iron, Low iron (additional iron may be necessary), Not applicable, Declined, Don't know, Missing","6. Which of the following describes the iron content of the formula the child is usually fed?: With iron, Low iron (additional iron may be necessary), Not applicable, Declined, Don't know, Missing"
ifp_c07___1,"7. In the past 7 days, what type of formula was the child fed? [Check all that apply]: Ready-to-feed","Ready-to-feed: No, Ready-to-feed: Yes","7. In the past 7 days, what type of formula was the child fed? [Check all that apply]: Ready-to-feed: Ready-to-feed: No, Ready-to-feed: Yes"
ifp_c07___2,"7. In the past 7 days, what type of formula was the child fed? [Check all that apply]: Liquid concentrate","Liquid concentrate: No, Liquid concentrate: Yes","7. In the past 7 days, what type of formula was the child fed? [Check all that apply]: Liquid concentrate: Liquid concentrate: No, Liquid concentrate: Yes"
ifp_c07___3,"7. In the past 7 days, what type of formula was the child fed? [Check all that apply]: Powder from a can that makes more than one bottle","Powder from a can that makes more than one bottle: No, Powder from a can that makes more than one bottle: Yes","7. In the past 7 days, what type of formula was the child fed? [Check all that apply]: Powder from a can that makes more than one bottle: Powder from a can that makes more than one bottle: No, Powder from a can that makes more than one bottle: Yes"
ifp_c07___4,"7. In the past 7 days, what type of formula was the child fed? [Check all that apply]: Powder from single serving packs","Powder from single serving packs: No, Powder from single serving packs: Yes","7. In the past 7 days, what type of formula was the child fed? [Check all that apply]: Powder from single serving packs: Powder from single serving packs: No, Powder from single serving packs: Yes"
