ECHO Variable,ECHO Variable Description,UKMCS Variable,UKMCS Variable Description,Similarity Score
2a. Does anyone who lives in the child's home or dwelling smoke any other products inside? What products? [Mark all that apply]: Marijuana/Hashish,"2a. Does anyone who lives in the child's home or dwelling smoke any other products inside? What products? [Mark all that apply]: Marijuana/Hashish: Marijuana/Hashish: No, Marijuana/Hashish: Yes",Whether anyone smokes in the same room as CM,Whether anyone smokes in the same room as CM: -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,0.8379526357820565
2a. Does anyone who lives in the child's home or dwelling smoke any other products inside? What products? [Mark all that apply]: Other [Specify],"2a. Does anyone who lives in the child's home or dwelling smoke any other products inside? What products? [Mark all that apply]: Other [Specify]: Other [Specify]: No, Other [Specify]: Yes",Whether anyone smokes in the same room as CM,Whether anyone smokes in the same room as CM: -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,0.8323274692810921
2a. Does anyone who lives in the child's home or dwelling smoke any other products inside? What products? [Mark all that apply]: Declined,"2a. Does anyone who lives in the child's home or dwelling smoke any other products inside? What products? [Mark all that apply]: Declined: Declined: No, Declined: Yes",Whether anyone smokes in the same room as CM,Whether anyone smokes in the same room as CM: -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,0.8428373247956856
2a. Does anyone who lives in the child's home or dwelling smoke any other products inside? What products? [Mark all that apply]: Don't know,"2a. Does anyone who lives in the child's home or dwelling smoke any other products inside? What products? [Mark all that apply]: Don't know: Don't know: No, Don't know: Yes",Whether anyone smokes in the same room as CM,Whether anyone smokes in the same room as CM: -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,0.8514225724094858
Calculated field for determining number of smoking products,Calculated field for determining number of smoking products: ,Number smoked per day after change  ,Number smoked per day after change  : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 0.0 = Gave Up; 96.0 = Less than one a day,0.8443152496645386
"2a. Does anyone who lives in the child's home or dwelling smoke any other products inside? What products, Other, specify (de-identified)","2a. Does anyone who lives in the child's home or dwelling smoke any other products inside? What products, Other, specify (de-identified): ",Whether anyone smokes in the same room as CM,Whether anyone smokes in the same room as CM: -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,0.8373462562168398
"2.b. If you marked more than one in 2.a, which of these products is smoked inside most often? [Mark only one]","2.b. If you marked more than one in 2.a, which of these products is smoked inside most often? [Mark only one]: E-cigarettes or Electronic Nicotine Delivery Device or Vaporizer such as JUUL, Cigars, Pipes, Marijuana/Hashish, Other [Specify], Not applicable, Declined, Don't know, Missing",Current smoking MC2 ,"Current smoking MC2 : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = No, does not smoke; 2.0 = Yes, cigarettes; 3.0 = Yes, roll-ups; 4.0 = Yes, cigars; 5.0 = Yes, a pipe",0.8387128563783142
"2.b. If you marked more than one in 2.a, which of these products is smoked inside most often? Other, specify (de-identified)","2.b. If you marked more than one in 2.a, which of these products is smoked inside most often? Other, specify (de-identified): ",Smoked in last 2 years  ,Smoked in last 2 years  : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,0.8184317162039614
"2c. For the product smoked inside most, how often is it smoked? Times per day","2c. For the product smoked inside most, how often is it smoked? Times per day: ",Frequency of pipe smoking   ,Frequency of pipe smoking   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Every day; 2.0 = 5-6 times per week; 3.0 = 3-4 times per week; 4.0 = 1-2 times per week; 5.0 = 1-2 times per month,0.8510945687687077
"2c. For the product smoked inside most, how often is it smoked? Times per week","2c. For the product smoked inside most, how often is it smoked? Times per week: ",Frequency of pipe smoking   ,Frequency of pipe smoking   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Every day; 2.0 = 5-6 times per week; 3.0 = 3-4 times per week; 4.0 = 1-2 times per week; 5.0 = 1-2 times per month,0.8518178620752894
"2c. For the product smoked inside most, how often is it smoked? Times per month","2c. For the product smoked inside most, how often is it smoked? Times per month: ",Frequency of pipe smoking   ,Frequency of pipe smoking   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Every day; 2.0 = 5-6 times per week; 3.0 = 3-4 times per week; 4.0 = 1-2 times per week; 5.0 = 1-2 times per month,0.8479826874142979
"2c. For the product smoked inside most, how often is it smoked? Less than once per month, Declined, Don't know","2c. For the product smoked inside most, how often is it smoked? Less than once per month, Declined, Don't know: Less than once per month, Not applicable, Declined, Don't know, Missing",Frequency of pipe smoking   ,Frequency of pipe smoking   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Every day; 2.0 = 5-6 times per week; 3.0 = 3-4 times per week; 4.0 = 1-2 times per week; 5.0 = 1-2 times per month,0.8624610006345438
"2.d. If you marked more than one in 2.a, which of these products is smoked inside second most often? [Mark only one]","2.d. If you marked more than one in 2.a, which of these products is smoked inside second most often? [Mark only one]: E-cigarettes or Electronic Nicotine Delivery Device or Vaporizer such as JUUL, Cigars, Pipes, Marijuana/Hashish, Other [Specify], Not applicable, Declined, Don't know, Missing",Current smoking MC2 ,"Current smoking MC2 : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = No, does not smoke; 2.0 = Yes, cigarettes; 3.0 = Yes, roll-ups; 4.0 = Yes, cigars; 5.0 = Yes, a pipe",0.8353527658745429
"2d. If you marked more than one in 2.a, which of these products is smoked inside second most often? Other, specify (de-identified)","2d. If you marked more than one in 2.a, which of these products is smoked inside second most often? Other, specify (de-identified): ",Smoked in last 2 years  ,Smoked in last 2 years  : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,0.8216990538066864
"2e. For the product smoked inside second most, how often is it smoked? Times per day","2e. For the product smoked inside second most, how often is it smoked? Times per day: ",Frequency of pipe smoking   ,Frequency of pipe smoking   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Every day; 2.0 = 5-6 times per week; 3.0 = 3-4 times per week; 4.0 = 1-2 times per week; 5.0 = 1-2 times per month,0.8552002293452872
"2e. For the product smoked inside second most, how often is it smoked? Times per week","2e. For the product smoked inside second most, how often is it smoked? Times per week: ",Frequency of pipe smoking   ,Frequency of pipe smoking   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Every day; 2.0 = 5-6 times per week; 3.0 = 3-4 times per week; 4.0 = 1-2 times per week; 5.0 = 1-2 times per month,0.8533111604774506
"2e. For the product smoked inside second most, how often is it smoked? Times per month","2e. For the product smoked inside second most, how often is it smoked? Times per month: ",Frequency of pipe smoking   ,Frequency of pipe smoking   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Every day; 2.0 = 5-6 times per week; 3.0 = 3-4 times per week; 4.0 = 1-2 times per week; 5.0 = 1-2 times per month,0.8511090076555222
"2e. For the product smoked inside second most, how often is it smoked? Less than once per month, Declined, Don't know","2e. For the product smoked inside second most, how often is it smoked? Less than once per month, Declined, Don't know: Less than once per month, Not applicable, Declined, Don't know, Missing",Frequency of pipe smoking   ,Frequency of pipe smoking   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Every day; 2.0 = 5-6 times per week; 3.0 = 3-4 times per week; 4.0 = 1-2 times per week; 5.0 = 1-2 times per month,0.8640875376649411
"1. In the past 7 days, how many times was the child usually fed in a 24-hour period? Please include breast feedings, bottles, meals, snacks, and night-time feedings.","1. In the past 7 days, how many times was the child usually fed in a 24-hour period? Please include breast feedings, bottles, meals, snacks, and night-time feedings.: 1 to 2, 3 to 4, 5 to 6, 7 to 8, More than 8, Not applicable, Declined, Don't know, Missing",Frequency feeds baby,Frequency feeds baby: -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = More than once a day; 2.0 = Once a day; 3.0 = A few times a week; 4.0 = Once or twice a week; 5.0 = Less than once a week,0.880258874148158
"2. In the past 7 days, has the child used a pacifier?","2. In the past 7 days, has the child used a pacifier?: Yes, No, Not applicable, Declined, Don't know, Missing",Whether baby crying is a problem,Whether baby crying is a problem: -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,0.8481575594067602
"3. In the past 2 weeks, which of the following was the child given in vitamin or mineral drops or pills at least 3 days a week? If the child was given drops or pills that contained more than one of the items listed, please mark each of the separate items. [Check all that apply]: Fluoride","3. In the past 2 weeks, which of the following was the child given in vitamin or mineral drops or pills at least 3 days a week? If the child was given drops or pills that contained more than one of the items listed, please mark each of the separate items. [Check all that apply]: Fluoride: Fluoride: No, Fluoride: Yes",PXQ Frequency sees other children   ,PXQ Frequency sees other children   : 1.0 = Every day; 2.0 = Less often but more than once a week; 3.0 = Once a week; 4.0 = Less often but at least once a month; 5.0 = Less often than once a month; -9.0 = Refusal; -8.0 = Don't Know,0.8005617471982667
"3. In the past 2 weeks, which of the following was the child given in vitamin or mineral drops or pills at least 3 days a week? If the child was given drops or pills that contained more than one of the items listed, please mark each of the separate items. [Check all that apply]: Iron","3. In the past 2 weeks, which of the following was the child given in vitamin or mineral drops or pills at least 3 days a week? If the child was given drops or pills that contained more than one of the items listed, please mark each of the separate items. [Check all that apply]: Iron: Iron: No, Iron: Yes",PXQ Frequency sees other children   ,PXQ Frequency sees other children   : 1.0 = Every day; 2.0 = Less often but more than once a week; 3.0 = Once a week; 4.0 = Less often but at least once a month; 5.0 = Less often than once a month; -9.0 = Refusal; -8.0 = Don't Know,0.8027366760591671
"3. In the past 2 weeks, which of the following was the child given in vitamin or mineral drops or pills at least 3 days a week? If the child was given drops or pills that contained more than one of the items listed, please mark each of the separate items. [Check all that apply]: Vitamin D","3. In the past 2 weeks, which of the following was the child given in vitamin or mineral drops or pills at least 3 days a week? If the child was given drops or pills that contained more than one of the items listed, please mark each of the separate items. [Check all that apply]: Vitamin D: Vitamin D: No, Vitamin D: Yes",PXQ Frequency sees other children   ,PXQ Frequency sees other children   : 1.0 = Every day; 2.0 = Less often but more than once a week; 3.0 = Once a week; 4.0 = Less often but at least once a month; 5.0 = Less often than once a month; -9.0 = Refusal; -8.0 = Don't Know,0.7999904149735021
"3. In the past 2 weeks, which of the following was the child given in vitamin or mineral drops or pills at least 3 days a week? If the child was given drops or pills that contained more than one of the items listed, please mark each of the separate items. [Check all that apply]: Multivitamins","3. In the past 2 weeks, which of the following was the child given in vitamin or mineral drops or pills at least 3 days a week? If the child was given drops or pills that contained more than one of the items listed, please mark each of the separate items. [Check all that apply]: Multivitamins: Multivitamins: No, Multivitamins: Yes",PXQ Frequency sees other children   ,PXQ Frequency sees other children   : 1.0 = Every day; 2.0 = Less often but more than once a week; 3.0 = Once a week; 4.0 = Less often but at least once a month; 5.0 = Less often than once a month; -9.0 = Refusal; -8.0 = Don't Know,0.8002206420932715
"3. In the past 2 weeks, which of the following was the child given in vitamin or mineral drops or pills at least 3 days a week? If the child was given drops or pills that contained more than one of the items listed, please mark each of the separate items. [Check all that apply]: Fish oil","3. In the past 2 weeks, which of the following was the child given in vitamin or mineral drops or pills at least 3 days a week? If the child was given drops or pills that contained more than one of the items listed, please mark each of the separate items. [Check all that apply]: Fish oil: Fish oil: No, Fish oil: Yes",PXQ Frequency sees other children   ,PXQ Frequency sees other children   : 1.0 = Every day; 2.0 = Less often but more than once a week; 3.0 = Once a week; 4.0 = Less often but at least once a month; 5.0 = Less often than once a month; -9.0 = Refusal; -8.0 = Don't Know,0.7975197724492267
"3. In the past 2 weeks, which of the following was the child given in vitamin or mineral drops or pills at least 3 days a week? If the child was given drops or pills that contained more than one of the items listed, please mark each of the separate items. [Check all that apply]: DHA","3. In the past 2 weeks, which of the following was the child given in vitamin or mineral drops or pills at least 3 days a week? If the child was given drops or pills that contained more than one of the items listed, please mark each of the separate items. [Check all that apply]: DHA: DHA: No, DHA: Yes",PXQ Frequency sees other children   ,PXQ Frequency sees other children   : 1.0 = Every day; 2.0 = Less often but more than once a week; 3.0 = Once a week; 4.0 = Less often but at least once a month; 5.0 = Less often than once a month; -9.0 = Refusal; -8.0 = Don't Know,0.7991075556884291
"3. In the past 2 weeks, which of the following was the child given in vitamin or mineral drops or pills at least 3 days a week? If the child was given drops or pills that contained more than one of the items listed, please mark each of the separate items. [Check all that apply]: EPA","3. In the past 2 weeks, which of the following was the child given in vitamin or mineral drops or pills at least 3 days a week? If the child was given drops or pills that contained more than one of the items listed, please mark each of the separate items. [Check all that apply]: EPA: EPA: No, EPA: Yes",PXQ Frequency sees other children   ,PXQ Frequency sees other children   : 1.0 = Every day; 2.0 = Less often but more than once a week; 3.0 = Once a week; 4.0 = Less often but at least once a month; 5.0 = Less often than once a month; -9.0 = Refusal; -8.0 = Don't Know,0.8047271046739349
"3. In the past 2 weeks, which of the following was the child given in vitamin or mineral drops or pills at least 3 days a week? If the child was given drops or pills that contained more than one of the items listed, please mark each of the separate items. [Check all that apply]: Prebiotic","3. In the past 2 weeks, which of the following was the child given in vitamin or mineral drops or pills at least 3 days a week? If the child was given drops or pills that contained more than one of the items listed, please mark each of the separate items. [Check all that apply]: Prebiotic: Prebiotic: No, Prebiotic: Yes",PXQ Frequency sees other children   ,PXQ Frequency sees other children   : 1.0 = Every day; 2.0 = Less often but more than once a week; 3.0 = Once a week; 4.0 = Less often but at least once a month; 5.0 = Less often than once a month; -9.0 = Refusal; -8.0 = Don't Know,0.7994049380073663
"3. In the past 2 weeks, which of the following was the child given in vitamin or mineral drops or pills at least 3 days a week? If the child was given drops or pills that contained more than one of the items listed, please mark each of the separate items. [Check all that apply]: Probiotic","3. In the past 2 weeks, which of the following was the child given in vitamin or mineral drops or pills at least 3 days a week? If the child was given drops or pills that contained more than one of the items listed, please mark each of the separate items. [Check all that apply]: Probiotic: Probiotic: No, Probiotic: Yes",PXQ Frequency sees other children   ,PXQ Frequency sees other children   : 1.0 = Every day; 2.0 = Less often but more than once a week; 3.0 = Once a week; 4.0 = Less often but at least once a month; 5.0 = Less often than once a month; -9.0 = Refusal; -8.0 = Don't Know,0.7991408581376499
"3. In the past 2 weeks, which of the following was the child given in vitamin or mineral drops or pills at least 3 days a week? If the child was given drops or pills that contained more than one of the items listed, please mark each of the separate items. [Check all that apply]: Other vitamins","3. In the past 2 weeks, which of the following was the child given in vitamin or mineral drops or pills at least 3 days a week? If the child was given drops or pills that contained more than one of the items listed, please mark each of the separate items. [Check all that apply]: Other vitamins: Other vitamins: No, Other vitamins: Yes",PXQ Frequency sees other children   ,PXQ Frequency sees other children   : 1.0 = Every day; 2.0 = Less often but more than once a week; 3.0 = Once a week; 4.0 = Less often but at least once a month; 5.0 = Less often than once a month; -9.0 = Refusal; -8.0 = Don't Know,0.8026872745871875
"3. In the past 2 weeks, which of the following was the child given in vitamin or mineral drops or pills at least 3 days a week? If the child was given drops or pills that contained more than one of the items listed, please mark each of the separate items. [Check all that apply]: None of these","3. In the past 2 weeks, which of the following was the child given in vitamin or mineral drops or pills at least 3 days a week? If the child was given drops or pills that contained more than one of the items listed, please mark each of the separate items. [Check all that apply]: None of these: None of these: No, None of these: Yes",PXQ Frequency sees other children   ,PXQ Frequency sees other children   : 1.0 = Every day; 2.0 = Less often but more than once a week; 3.0 = Once a week; 4.0 = Less often but at least once a month; 5.0 = Less often than once a month; -9.0 = Refusal; -8.0 = Don't Know,0.8016406214407183
"3. In the past 2 weeks, which of the following was the child given in vitamin or mineral drops or pills at least 3 days a week? If the child was given drops or pills that contained more than one of the items listed, please mark each of the separate items. [Check all that apply]: Don't know","3. In the past 2 weeks, which of the following was the child given in vitamin or mineral drops or pills at least 3 days a week? If the child was given drops or pills that contained more than one of the items listed, please mark each of the separate items. [Check all that apply]: Don't know: Don't know: No, Don't know: Yes",PXQ Frequency sees other children   ,PXQ Frequency sees other children   : 1.0 = Every day; 2.0 = Less often but more than once a week; 3.0 = Once a week; 4.0 = Less often but at least once a month; 5.0 = Less often than once a month; -9.0 = Refusal; -8.0 = Don't Know,0.8139201102962084
"4. In the past 2 weeks, how often was the child put to bed with a bottle of formula, breast milk, juice, juice drink, or any other kind of milk?","4. In the past 2 weeks, how often was the child put to bed with a bottle of formula, breast milk, juice, juice drink, or any other kind of milk?: At most bedtimes, including naps, At most night bedtimes, but not naps, At most naps, but not night bedtimes, Only occasionally at bedtimes, including naps, Never, Not applicable, Declined, Don't know, Missing",Frequency gets up in night for baby ,Frequency gets up in night for baby : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = More than once a day; 2.0 = Once a day; 3.0 = A few times a week; 4.0 = Once or twice a week; 5.0 = Less than once a week; 6.0 = Never,0.8552064024038469
"5. Have you obtained information about feeding infants from any of the following sources?: a. Doctor, nurse, or other health professional","5. Have you obtained information about feeding infants from any of the following sources?: a. Doctor, nurse, or other health professional: Yes, No, Not applicable, Declined, Don't know, Missing",Frequency feeds baby,Frequency feeds baby: -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = More than once a day; 2.0 = Once a day; 3.0 = A few times a week; 4.0 = Once or twice a week; 5.0 = Less than once a week,0.8268677352334628
5. Have you obtained information about feeding infants from any of the following sources?: b. WIC food program,"5. Have you obtained information about feeding infants from any of the following sources?: b. WIC food program: Yes, No, Not applicable, Declined, Don't know, Missing",Milk feeds at about the same time   ,Milk feeds at about the same time   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Almost never; 2.0 = Rarely; 3.0 = Usually does not; 4.0 = Often; 5.0 = Almost always,0.8149016694685207
5. Have you obtained information about feeding infants from any of the following sources?: c. Baby care class or support group,"5. Have you obtained information about feeding infants from any of the following sources?: c. Baby care class or support group: Yes, No, Not applicable, Declined, Don't know, Missing",Whether attended ante-natal classes ,Whether attended ante-natal classes : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,0.8339560592160632
5. Have you obtained information about feeding infants from any of the following sources?: d. Relative or friend,"5. Have you obtained information about feeding infants from any of the following sources?: d. Relative or friend: Yes, No, Not applicable, Declined, Don't know, Missing",Milk feeds at about the same time   ,Milk feeds at about the same time   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Almost never; 2.0 = Rarely; 3.0 = Usually does not; 4.0 = Often; 5.0 = Almost always,0.8307384402672078
5. Have you obtained information about feeding infants from any of the following sources?: e. Books or videos,"5. Have you obtained information about feeding infants from any of the following sources?: e. Books or videos: Yes, No, Not applicable, Declined, Don't know, Missing",Frequency feeds baby,Frequency feeds baby: -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = More than once a day; 2.0 = Once a day; 3.0 = A few times a week; 4.0 = Once or twice a week; 5.0 = Less than once a week,0.8248327594965688
5. Have you obtained information about feeding infants from any of the following sources?: f. Newsletters,"5. Have you obtained information about feeding infants from any of the following sources?: f. Newsletters: Yes, No, Not applicable, Declined, Don't know, Missing",Frequency feeds baby,Frequency feeds baby: -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = More than once a day; 2.0 = Once a day; 3.0 = A few times a week; 4.0 = Once or twice a week; 5.0 = Less than once a week,0.8285288103702594
5. Have you obtained information about feeding infants from any of the following sources?: g. Newspapers or magazines,"5. Have you obtained information about feeding infants from any of the following sources?: g. Newspapers or magazines: Yes, No, Not applicable, Declined, Don't know, Missing",Frequency feeds baby,Frequency feeds baby: -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = More than once a day; 2.0 = Once a day; 3.0 = A few times a week; 4.0 = Once or twice a week; 5.0 = Less than once a week,0.8290346023295222
5. Have you obtained information about feeding infants from any of the following sources?: h. Television or radio,"5. Have you obtained information about feeding infants from any of the following sources?: h. Television or radio: Yes, No, Not applicable, Declined, Don't know, Missing",Frequency feeds baby,Frequency feeds baby: -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = More than once a day; 2.0 = Once a day; 3.0 = A few times a week; 4.0 = Once or twice a week; 5.0 = Less than once a week,0.8340479037328163
5. Have you obtained information about feeding infants from any of the following sources?: i. Online informational website(s,"5. Have you obtained information about feeding infants from any of the following sources?: i. Online informational website(s: Yes, No, Not applicable, Declined, Don't know, Missing",Content during interruptions of feeding.,Content during interruptions of feeding.: -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Almost never; 2.0 = Rarely; 3.0 = Usually does not; 4.0 = Often; 5.0 = Almost always,0.8241757184594845
5. Have you obtained information about feeding infants from any of the following sources?: j. Social media,"5. Have you obtained information about feeding infants from any of the following sources?: j. Social media: Yes, No, Not applicable, Declined, Don't know, Missing",Frequency feeds baby,Frequency feeds baby: -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = More than once a day; 2.0 = Once a day; 3.0 = A few times a week; 4.0 = Once or twice a week; 5.0 = Less than once a week,0.8278931619923516
"5. Have you obtained information about feeding infants from any of the following sources?: k. Other, specify","5. Have you obtained information about feeding infants from any of the following sources?: k. Other, specify: Yes, No, Not applicable, Declined, Don't know, Missing",Frequency feeds baby,Frequency feeds baby: -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = More than once a day; 2.0 = Once a day; 3.0 = A few times a week; 4.0 = Once or twice a week; 5.0 = Less than once a week,0.8299642296918479
5. Have you obtained information about feeding infants from any of the following sources?: Specify (de-identified),5. Have you obtained information about feeding infants from any of the following sources?: Specify (de-identified): ,Frequency feeds baby,Frequency feeds baby: -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = More than once a day; 2.0 = Once a day; 3.0 = A few times a week; 4.0 = Once or twice a week; 5.0 = Less than once a week,0.8154822176186438
1. Did the biological mother ever breastfeed the child or feed the child her pumped breast milk?,"1. Did the biological mother ever breastfeed the child or feed the child her pumped breast milk?: Yes, No, Not applicable, Declined, Don't know, Missing",Ever tried to breastfeed,Ever tried to breastfeed: -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,0.8621916683558092
2. How long after birth did the biological mother first put the child on the breast?,"2. How long after birth did the biological mother first put the child on the breast?: Immediately, Less than one hour, More than one hour, less than 24 hours, 24 hours or more, Not applicable, Declined, Don't know, Missing",Age when CM last had breast milk?   ,Age when CM last had breast milk?   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Never took breast milk; 2.0 = Less than one day; 3.0 = Answer given in days; 4.0 = Answer given in weeks; 5.0 = Answer given in months,0.8472443788815079
2.a. How many hours?,2.a. How many hours?: ,Interview Date (day),Interview Date (day): ,0.836408737672814
2.b. How many days?,2.b. How many days?: ,Interview Date (day),Interview Date (day): ,0.8501657087882288
3. Did the biological mother have to supplement her breast milk with Human Milk Fortifier (HMF)?,"3. Did the biological mother have to supplement her breast milk with Human Milk Fortifier (HMF)?: Yes, No, Not applicable, Declined, Don't know, Missing",Ever tried to breastfeed,Ever tried to breastfeed: -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,0.8432955900713752
