Unnamed: 0,text
59,"5. Have you obtained information about feeding infants from any of the following sources?: a. Doctor, nurse, or other health professional"
60,5. Have you obtained information about feeding infants from any of the following sources?: b. WIC food program
61,5. Have you obtained information about feeding infants from any of the following sources?: c. Baby care class or support group
62,5. Have you obtained information about feeding infants from any of the following sources?: d. Relative or friend
63,5. Have you obtained information about feeding infants from any of the following sources?: e. Books or videos
64,5. Have you obtained information about feeding infants from any of the following sources?: f. Newsletters
65,5. Have you obtained information about feeding infants from any of the following sources?: g. Newspapers or magazines
66,5. Have you obtained information about feeding infants from any of the following sources?: h. Television or radio
67,5. Have you obtained information about feeding infants from any of the following sources?: i. Online informational website(s
68,5. Have you obtained information about feeding infants from any of the following sources?: j. Social media
69,"5. Have you obtained information about feeding infants from any of the following sources?: k. Other, specify"
70,5. Have you obtained information about feeding infants from any of the following sources?: Specify (de-identified)
74,2.b. How many days?
77,4.a. Did the biological mother breastfeed the child as long as she wanted to?
82,5. Does the child usually feed from both breasts at each feeding?
83,6. Does the child usually let go of the breast him or herself?
84,7. About how long does an average breastfeeding last?
100,1. Has the child ever been fed formula?
101,1.a. How old was the child when he / she started drinking formula?: Days (if younger than 2 weeks
104,"8. In the past 7 days, which formula was fed to the child?: Don't know"
105,"2. In the past 7 days, has the child been fed formula?"
106,2.a. How often?: feedings per day
108,"3. In the past 7 days, how often did the child drink all of his / her bottle of formula?"
109,"4. In the past 7 days, about how many ounces of formula did the child drink at each feeding?"
110,5. How often is the child encouraged to finish a bottle if he / she stops drinking before the formula is all gone?
111,6. Which of the following describes the iron content of the formula the child is usually fed?
112,"7. In the past 7 days, what type of formula was the child fed? [Check all that apply]: Ready-to-feed"
113,"7. In the past 7 days, what type of formula was the child fed? [Check all that apply]: Liquid concentrate"
114,"7. In the past 7 days, what type of formula was the child fed? [Check all that apply]: Powder from a can that makes more than one bottle"
115,"7. In the past 7 days, what type of formula was the child fed? [Check all that apply]: Powder from single serving packs"
116,"7. In the past 7 days, what type of formula was the child fed? [Check all that apply]: Don't know"
117,"8. In the past 7 days, which formula was fed to the child? [Check all that apply] [Infant formulas are listed in alphabetical order below.]: Group 1. Amino acid-based (elemental) formulas"
118,"8. In the past 7 days, which formula was fed to the child? [Check all that apply] [Infant formulas are listed in alphabetical order below.]: Group 2. Milk-based formulas without DHA/ARA"
119,"8. In the past 7 days, which formula was fed to the child? [Check all that apply] [Infant formulas are listed in alphabetical order below.]: Group 3. Milk-based formulas with DHA/ARA"
120,"8. In the past 7 days, which formula was fed to the child? [Check all that apply] [Infant formulas are listed in alphabetical order below.]: Group 4. Soy-based formulas with DHA/ARA"
121,"8. In the past 7 days, which formula was fed to the child? [Check all that apply] [Infant formulas are listed in alphabetical order below.]: Group 5. Soy-based formulas without DHA/ARA"
122,"8. In the past 7 days, which formula was fed to the child? [Check all that apply] [Infant formulas are listed in alphabetical order below.]: Group 6. Extensively-hydrolyzed formulas"
123,"8. In the past 7 days, which formula was fed to the child? [Check all that apply] [Infant formulas are listed in alphabetical order below.]: Group 7. Partially-hydrolyzed formulas"
124,"8. In the past 7 days, which formula was fed to the child? [Check all that apply] [Infant formulas are listed in alphabetical order below.]: Group 8. Thickened / anti-reflux milk-based formulas"
128,"8. In the past 7 days, which formula was fed to the child?: Specify (de-identified)"
137,"3. In the past 7 days, has the child been fed baby cereal?"
138,3.a. How often?: Feedings per day
140,"3. In the past 7 days, has the child been fed baby cereal?: Less than once per week: Less than once per week"
141,3.b. What type of cereal grains was the child fed? [Check all that apply]: Rice cereal
142,3.b. What type of cereal grains was the child fed? [Check all that apply]: Oat cereal or oatmeal
143,3.b. What type of cereal grains was the child fed? [Check all that apply]: Barley cereal
144,3.b. What type of cereal grains was the child fed? [Check all that apply]: Multigrain cereal
145,"3.b. What type of cereal grains was the child fed? [Check all that apply]: Other grain cereal (e.g., quinoa, rye)"
146,3.b. What type of cereal grains was the child fed? [Check all that apply]: Don't know
147,3.c. What cereal preparation was the child fed? [Check all that apply]: Dry cereal that had liquid added to it
148,3.c. What cereal preparation was the child fed? [Check all that apply]: Cereal in a jar already mixed
149,3.c. What cereal preparation was the child fed? [Check all that apply]: Don't know
150,4. Has the child ever been fed solid food?
151,How important was each of the following reasons for feeding the child solid food for the very first time?: a. The child was nursing too much
152,How important was each of the following reasons for feeding the child solid food for the very first time?: b. The child was drinking too much formula
153,How important was each of the following reasons for feeding the child solid food for the very first time?: c. The child seemed hungry a lot of the time
157,How important was each of the following reasons for feeding the child solid food for the very first time?: g. To help the child sleep longer at night
158,How important was each of the following reasons for feeding the child solid food for the very first time?: h. The child was old enough to begin eating solid food
159,How important was each of the following reasons for feeding the child solid food for the very first time?: i. The child had a medical condition that could be helped by feeding solid food
160,How important was each of the following reasons for feeding the child solid food for the very first time?: j. A doctor or other health professional said the child should begin eating solid foods
161,How important was each of the following reasons for feeding the child solid food for the very first time?: k. Friends or relatives said the child should begin eating solid foods
162,How important was each of the following reasons for feeding the child solid food for the very first time?: l. The child wanted food I ate or in other ways showed an interest in solid food
183,"6. In the past 7 days, was the child fed the foods listed below? d. Other dairy foods: yogurt, cheese, ice cream, pudding, etc."
184,"6. In the past 7 days, was the child fed the foods listed below? d. Other dairy foods: yogurt, cheese, ice cream, pudding, etc. How often?: Feedings per day"
185,"6. In the past 7 days, was the child fed the foods listed below? d. Other dairy foods: yogurt, cheese, ice cream, pudding, etc. How often?: Feedings per week"
186,"6. In the past 7 days, was the child fed the foods listed below? d. Other dairy foods: yogurt, cheese, ice cream, pudding, etc. How often?: Less than once per week: Less than once per week"
187,"6. In the past 7 days, was the child fed the foods listed below? e. Other soy foods: tofu, frozen soy desserts, etc."
188,"6. In the past 7 days, was the child fed the foods listed below? e. Other soy foods: tofu, frozen soy desserts, etc. How often?: Feedings per day"
189,"6. In the past 7 days, was the child fed the foods listed below? e. Other soy foods: tofu, frozen soy desserts, etc. How often?: Feedings per week"
190,"6. In the past 7 days, was the child fed the foods listed below? e. Other soy foods: tofu, frozen soy desserts, etc. How often?: Less than once per week: Less than once per week"
191,"6. In the past 7 days, was the child fed the foods listed below? f. 100% fruit or 100% vegetable juice."
192,"6. In the past 7 days, was the child fed the foods listed below? f. 100% fruit or 100% vegetable juice. How often?: Feedings per day"
193,"6. In the past 7 days, was the child fed the foods listed below? f. 100% fruit or 100% vegetable juice. How often?: Feedings per week"
194,"6. In the past 7 days, was the child fed the foods listed below? f. 100% fruit or 100% vegetable juice. How often?: Less than once per week: Less than once per week"
199,"6. In the past 7 days, was the child fed the foods listed below? h. Cereals and starches: breakfast cereals, teething biscuits, crackers, breads, pasta, rice, etc. (Do not include baby cereals"
200,"6. In the past 7 days, was the child fed the foods listed below? h. Cereals and starches: breakfast cereals, teething biscuits, crackers, breads, pasta, rice, etc. (Do not include baby cereals) How often?: Feedings per day"
201,"6. In the past 7 days, was the child fed the foods listed below? h. Cereals and starches: breakfast cereals, teething biscuits, crackers, breads, pasta, rice, etc. (Do not include baby cereals) How often?: Feedings per week"
202,"6. In the past 7 days, was the child fed the foods listed below? h. Cereals and starches: breakfast cereals, teething biscuits, crackers, breads, pasta, rice, etc. (Do not include baby cereals) How often?: Less than once per week: Less than once per week"
203,"6. In the past 7 days, was the child fed the foods listed below? i. Fruit."
204,"6. In the past 7 days, was the child fed the foods listed below? i. Fruit. How often?: Feedings per day"
205,"6. In the past 7 days, was the child fed the foods listed below? i. Fruit. How often?: Feedings per week"
206,"6. In the past 7 days, was the child fed the foods listed below? i. Fruit. How often?: Less than once per week: Less than once per week"
207,"6. In the past 7 days, was the child fed the foods listed below? j. Vegetables."
208,"6. In the past 7 days, was the child fed the foods listed below? j. Vegetables. How often?: Feedings per day"
209,"6. In the past 7 days, was the child fed the foods listed below? j. Vegetables. How often?: Feedings per week"
210,"6. In the past 7 days, was the child fed the foods listed below? j. Vegetables. How often?: Less than once per week: Less than once per week"
211,"6. In the past 7 days, was the child fed the foods listed below? k. Meat, chicken, combination dinners."
212,"6. In the past 7 days, was the child fed the foods listed below? k. Meat, chicken, combination dinners. How often?: Feedings per day (de-identified)"
213,"6. In the past 7 days, was the child fed the foods listed below? k. Meat, chicken, combination dinners. How often?: Feedings per week"
214,"6. In the past 7 days, was the child fed the foods listed below? k. Meat, chicken, combination dinners. How often?: Less than once per week: Less than once per week"
215,"6. In the past 7 days, was the child fed the foods listed below? l. Fish or shellfish."
216,"6. In the past 7 days, was the child fed the foods listed below? l. Fish or shellfish. How often?: Feedings per day"
217,"6. In the past 7 days, was the child fed the foods listed below? l. Fish or shellfish. How often?: Feedings per week"
218,"6. In the past 7 days, was the child fed the foods listed below? l. Fish or shellfish. How often?: Less than once per week: Less than once per week"
219,"6. In the past 7 days, was the child fed the foods listed below? m. Eggs."
220,"6. In the past 7 days, was the child fed the foods listed below? m. Eggs. How often?: Feedings per day"
221,"6. In the past 7 days, was the child fed the foods listed below? m. Eggs. How often?: Feedings per week"
222,"6. In the past 7 days, was the child fed the foods listed below? m. Eggs. How often?: Less than once per week: Less than once per week"
223,"6. In the past 7 days, was the child fed the foods listed below? n. French fries."
224,"6. In the past 7 days, was the child fed the foods listed below? n. French fries. How often?: Feedings per day"
225,"6. In the past 7 days, was the child fed the foods listed below? n. French fries. How often?: Feedings per week"
226,"6. In the past 7 days, was the child fed the foods listed below? n. French fries. How often?: Less than once per week: Less than once per week"
227,"6. In the past 7 days, was the child fed the foods listed below? o. Peanut butter, other peanut foods, or nuts."
228,"6. In the past 7 days, was the child fed the foods listed below? o. Peanut butter, other peanut foods, or nuts. How often?: Feedings per day"
229,"6. In the past 7 days, was the child fed the foods listed below? o. Peanut butter, other peanut foods, or nuts. How often?: Feedings per week"
230,"6. In the past 7 days, was the child fed the foods listed below? o. Peanut butter, other peanut foods, or nuts. How often?: Less than once per week: Less than once per week"
231,"6. In the past 7 days, was the child fed the foods listed below? p. Sweet foods: candy, cookies, cake, etc."
232,"6. In the past 7 days, was the child fed the foods listed below? p. Sweet foods: candy, cookies, cake, etc. How often?: Feedings per day"
233,"6. In the past 7 days, was the child fed the foods listed below? p. Sweet foods: candy, cookies, cake, etc. How often?: Feedings per week"
234,"6. In the past 7 days, was the child fed the foods listed below? p. Sweet foods: candy, cookies, cake, etc. How often?: Less than once per week: Less than once per week"
235,"6. In the past 7 days, was the child fed the foods listed below? q. Other. specify: (de-identified)"
236,"6. In the past 7 days, was the child fed the foods listed below? q. Other. specify."
237,"6. In the past 7 days, was the child fed the foods listed below? q. Other. specify. How often?: Feedings per day"
238,"6. In the past 7 days, was the child fed the foods listed below? q. Other. specify. How often?: Feedings per week"
239,"6. In the past 7 days, was the child fed the foods listed below? q. Other. specify. How often?: Less than once per week: Less than once per week"
240,"7. In the past 2 weeks, has the child been fed food that has already been chewed up by a caregiver?"
241,"8. In the past 2 weeks, about how much of the following foods fed to the child was commercial baby food? a. Fruit and vegetable juice"
242,"8. In the past 2 weeks, about how much of the following foods fed to the child was commercial baby food? b. Fruit"
243,"8. In the past 2 weeks, about how much of the following foods fed to the child was commercial baby food? c. Vegetables"
244,"8. In the past 2 weeks, about how much of the following foods fed to the child was commercial baby food? d. Meat, chicken, combination dinners"
245,9. Was the child fed fruit juice that was not sold especially for babies?
246,a. How often was the juice fortified with calcium?
247,"10. In the past 2 weeks, about how often were new foods introduced (such as a specific type of cereal, fruit, vegetable, or meat) to the child?"
248,"11. In the past 2 weeks, how often was salt added to the foods fed to the child?"
249,"12. In the past 2 weeks, was iodized salt (""table salt"") used in the preparation of the child's food or added to the child's food?"
250,"13. In the past 7 days, how many times did the child eat food delivered or carried out from a restaurant? [Include food from any restaurant such as take-out, drive-thru, or delivery restaurant.]"
251,[intentionally blank]
252,COMMUNICATION INITIAL TOTAL
253,COMMUNICATION NUM
254, COMMUNICATION TOTAL
255,GROSS MOTOR INITIAL TOTAL
256,GROSS MOTOR NUM
257, GROSS MOTOR TOTAL
258, FINE MOTOR INITIAL TOTAL
259,FINE MOTOR NUM
260, FINE MOTOR TOTAL
261,PROBLEM SOLVING INITIAL TOTAL
262,PROBLEM SOLVING NUM
263,PROBLEM SOLVING TOTAL
264,PERSONAL-SOCIAL INITIAL TOTAL
265,PERSONAL-SOCIAL NUM
266,PERSONAL-SOCIAL TOTAL
268,Self-Care Subdomain Scale Score
269,Personal Responsibility Subdomain Scale Score
270,Adult Interaction Subdomain Scale Score
272,Self-Concept and Social Role Subdomain Scale Score
275,Gross Motor Subdomain Scale Score
278,Attention and Memory Subdomain Scale Score
279,Reasoning and Academic Skills Subdomain Scale Score
280,Perception and Concepts Subdomain Scale Score
281,Adaptive Domain Developmental Quotient
282,Personal Social Domain Developmental Quotient
283,Communication Domain Developmental Quotient
284,Motor Domain Developmental Quotient
285,Cognitive Domain Developmental Quotient
289,Gross Motor Raw Score
290,Visual Reception Raw Score
294,Gross Motor T Score
295,Visual Reception T Score
299,Gross Motor Percentile Rank
300,Visual Reception Percentile Rank
301,Fine Motor Percentile Rank
302,Receptive Language Percentile Rank
303,Expressive Language Percentile Rank
309,Cognitive T Score Sum
310,Early Learning Composite Standard Score
311,Early Learning Composite Percentile Rank
312,"1. When being dressed or undressed during the last week, how often did the baby squirm and/or try to roll away?"
313,"2. When tossed around playfully, how often did the baby laugh?"
314,"3. When tired, how often did the baby show distress?"
315,"4. When introduced to an unfamiliar adult, how often did the baby cling to a parent?"
316,5. How often during the last week did the baby enjoy being read to?
317,6. How often during the last week did the baby play with one toy or object for 5-10 minutes?
318,7. How often during the week did the baby move quickly toward new objects?
319,"8. When put into the bath water, how often did the baby laugh?"
320,"9. When it was time for bed or a nap and the baby did not want to go, how often did s/he whimper or sob?"
321,"10. After sleeping, how often did the baby cry if someone didn't come within a few minutes?"
322,"11. In the last week, while being fed in your lap, how often did the baby seem eager to get away as soon as the feeding was over?"
323,"12. When singing or talking to the baby, how often did s/he soothe immediately?"
325,"14. During a peekaboo game, how often did the baby laugh?"
326,15. How often does the infant look up from playing when the telephone rings?
327,16. How often did the baby seem angry (crying and fussing) when you left her/him in the crib?
329,"18. How often during the last week did the baby enjoy hearing the sounds of words, as in nursery rhymes?"
330,19. How often during the last week did the baby look at pictures in books and/or magazines for 5 minutes or longer at a time?
332,21. How often during the last week did the baby smile or laugh when given a toy?
333,"22. At the end of an exciting day, how often did the baby become tearful?"
334,"23. How often during the last week did the baby protest being placed in a confining place (infant seat, play pen, car seat, etc.)?"
335,"24. When being held, in the last week, did the baby seem to enjoy him/herself?"
336,"25. When showing the baby something to look at, how often did s/he soothe immediately?"
337,"26. When hair was washed, how often did the baby vocalize?"
338,27. How often did the baby notice the sound of an airplane passing overhead?
339,"28. When introduced to an unfamiliar adult, how often did the baby refuse to go to the unfamiliar person?"
340,"29. When you were busy with another activity, and the baby was not able to get your attention, how often did s/he cry?"
341,"30. How often during the last week did the baby enjoy gentle rhythmic activities, such as rocking or swaying?"
342,"31. How often during the last week did the baby stare at a mobile, crib bumper, or picture for 5 minutes or longer?"
344,"33. When in the presence of several unfamiliar adults, how often did the baby cling to a parent?"
345,"34. When rocked or hugged, in the last week, did the baby seem to enjoy him/herself?"
346,"35. When patting or gently rubbing some part of the baby's body, how often did s/he soothe immediately?"
347,36. How often did the baby make talking sounds when riding in a car?
349,1. Sadness
350,2. Pessimism
353,5. Guilty Feelings
358,10. Crying
359,11. Agitation
360,12. Loss of Interest
361,13. Indecisiveness
362,14. Worthlessness
363,15. Loss of Energy
364,16. Changes in Sleep Pattern
365,17. Irritability
366,18. Changes in Appetite
367,19. Concentration Difficulty
368,20. Tiredness or Fatigue
372,Question 1
373,Question 2
374,Question 3
375,Question 4
376,Question 5
377,Question 6
378,Question 7
379,Question 8
380,Question 9
381,Question 10
382,Question 11
383,Question 12
384,Question 13
385,Question 14
386,Question 15
387,Question 16
388,Question 17
389,Question 18
390,Question 19
391,Question 20
392,Question 21
393,Question 22
394,Question 23
395,Question 24
396,Question 25
397,Question 26
398,Question 27
399,Question 28
400,Question 29
401,Question 30
402,Question 31
403,Question 32
404,Question 33
405,Question 34
406,Question 35
407,Question 36
408,Question 37
409,Question 38
410,Question 39
411,Question 40
412,Question 41
413,Question 42
414,Question 43
415,Question 44
416,Question 45
417,Question 46
418,Question 47
419,Question 48
420,Question 49
421,Question 50
422,Question 51
423,Question 52
424,Question 53
425,Positive BSI: Either total or two subscales >= T Score of 63
426,BSI Somatization mean score
427,BSI Obsessive Compulsive mean score
428,BSI Interpersonal Sensitivity mean score
429,BSI Depression mean score
430,BSI Anxiety mean score
431,BSI Hostility mean score
432,BSI Phobic Anxiety mean score
433,BSI Paranoid mean score
434,BSI Psychoticism mean score
435,BSI Total Severity mean score
439,BSI Depression >= T Score of 63
440,BSI Anxiety >= T Score of 63
442,BSI Phobic Anxiety >= T Score of 63
445,I was bothered by things that usually don’t bother me.
447,I felt that I could not shake off the blues even with help from my family or friends.
449,I had trouble keeping my mind on what I was doing.
451,I felt that everything I did was an effort.
452,I felt hopeful about the future.
454,I felt fearful.
455,My sleep was restless.
457,I talked less than usual.
459,People were unfriendly.
461,I had crying spells.
463,I felt that people dislike me.
465,"In the past 7 days, I have been able to laugh and see the funny side of things."
466,"In the past 7 days, I have looked forward with enjoyment to things."
467,"In the past 7 days, I have blamed myself unnecessarily when things went wrong."
470,"In the past 7 days, things have been getting on top of me."
471,"In the past 7 days, I have been so unhappy that I have difficulty sleeping."
472,"In the past 7 days, I have felt sad or miserable."
473,"In the past 7 days, I have been so unhappy that I have been crying."
474,"In the past 7 days, the thought of harming myself has occurred to me."
475,Is there is someone available to you whom you can count on to listen to you when you need to talk?
476,Is there someone available to give you good advice about a problem?
477,Is there someone available to you who shows you love and affection?
478,Is there someone available to help you with daily chores?
479,Can you count on anyone to provide you with emotional support (talking over problems or helping you make a difficult decision)?
480,"Do you have as much contact as you would like with someone you feel close to, someone in whom you can trust and confide?"
481,Are you currently married or living with a partner?
482,"If you feel you have been treated unfairly, do you usually: (please select the best response)"
483,"If you have been treated unfairly, do you usually: (please select the best response)"
485,[if yes] How many times did this happen?
486,"Have you ever experienced discrimination, been prevented from doing something, or been hassled or made to feel inferior in any of the following situations because of your race, ethnicity, or color? (2) Getting hired or getting a job?"
495,1. Marriage
496,2. Detention in jail or comparable institution: Time Period
497,2. Detention in jail or comparable institution
498,3. Death of spouse: Time Period
499,3. Death of spouse
500,4. Major change in sleeping habits (much more or much less sleep): Time Period
501,4. Major change in sleeping habits (much more or much less sleep)
502,5.a. Death of close family member: a. mother: Time Period
503,5.a. Death of close family member: a. mother
504,5.b. Death of close family member: b. father: Time Period
505,5.b. Death of close family member: b. father
506,5.c. Death of close family member: c. brother: Time Period
507,5.c. Death of close family member: c. brother
508,5.d. Death of close family member: d. sister: Time Period
509,5.d. Death of close family member: d. sister
510,5.e. Death of close family member: e. grandmother: Time Period
511,5.e. Death of close family member: e. grandmother
512,5.f. Death of close family member: f. grandfather: Time Period
513,5.f. Death of close family member: f. grandfather
514,5.g. Death of close family member: g. other (specify): Time Period
515,5.g. Death of close family member: g. other (specify)
516,6. Major change in eating habits (much more or much less food intake): Time Period
517,6. Major change in eating habits (much more or much less food intake)
518,7. Foreclosure on mortgage or loan: Time Period
520,8. Death of close friend: Time Period
521,8. Death of close friend
522,9. Outstanding personal achievement: Time Period
523,9. Outstanding personal achievement
524,"10. Minor law violations (traffic tickets disturbing the peace, etc.): Time Period"
525,"10. Minor law violations (traffic tickets disturbing the peace, etc.)"
526,11. Male: Wife/girlfriend's pregnancy: Time Period
527,11. Male: Wife/girlfriend's pregnancy
528,12. Female: Pregnancy: Time Period
529,12. Female: Pregnancy
530,"13. Changed work situation (different work responsibility, major change in working conditions, working hours, etc.): Time Period"
531,"13. Changed work situation (different work responsibility, major change in working conditions, working hours, etc.)"
532,14. New job: Time Period
534,15.a. Serious illness or injury of close family member: a. father: Time Period
535,15.a. Serious illness or injury of close family member: a. father
536,15.b. Serious illness or injury of close family member: b. mother: Time Period
537,15.b. Serious illness or injury of close family member: b. mother
538,15.c. Serious illness or injury of close family member: c. sister: Time Period
539,15.c. Serious illness or injury of close family member: c. sister
540,15.d. Serious illness or injury of close family member: d. brother: Time Period
541,15.d. Serious illness or injury of close family member: d. brother
542,15.e. Serious illness or injury of close family member: e. grandfather: Time Period
543,15.e. Serious illness or injury of close family member: e. grandfather
544,15.f. Serious illness or injury of close family member: f. grandmother: Time Period
545,15.f. Serious illness or injury of close family member: f. grandmother
546,15.g. Serious illness or injury of close family member: g. spouse: Time Period
547,15.g. Serious illness or injury of close family member: g. spouse
548,15.h. Death of close family member: h. other (specify): Time Period
549,15.h. Death of close family member: h. other (specify)
550,16. Sexual difficulties: Time Period
551,16. Sexual difficulties
552,"17. Trouble with employer (in danger of losing job, being suspended, demoted,etc.): Time Period"
553,"17. Trouble with employer (in danger of losing job, being suspended, demoted,etc.)"
554,18. Trouble with in-laws: Time Period
555,18. Trouble with in-laws
556,19. Major change in financial status (a lot better oil or a lot worse off): Time Period
557,19. Major change in financial status (a lot better oil or a lot worse olf)
558,20. Major change in closeness of family members (increased or decreased closeness): Time Period
559,20. Major change in closeness of family members (increased or decreased closeness)
560,"21. Gaining a new family member (through birth, adoption, family member moving in,etc.): Time Period"
561,"21. Gaining a new family member (through birth, adoption, family member moving in,etc.)"
562,22. Change of residence: Time Period
563,22. Change of residence
566,24. Major change in church activities (increased or decreased attendance): Time Period
567,24. Major change in church activities (increased or decreased attendance)
570,26. Major change in number of arguments with spouse (a lot more or a lot less arguments): Time Period
571,26. Major change in number of arguments with spouse (a lot more or a lot less arguments)
572,"27. Married male: Change in wife's work outside the home (beginning work, ceasing work, changing to a new job, etc.): Time Period"
573,"27. Married male: Change in wife's work outside the home (beginning work, ceasing work, changing to a new job, etc.)"
574,"28. Married female: Change in husband's work (loss of job, beginning new job, retirement, etc.): Time Period"
575,"28. Married female: Change in husband's work (loss of job, beginning new job, retirement, etc.)"
576,29. Major change in usual type and/or amount of recreation: Time Period
577,29. Major change in usual type and/or amount of recreation
578,"30. Borrowing more than $10,000 (buying home, business, etc.): Time Period"
579,"30. Borrowing more than $10,000 (buying home, business, etc.)"
580,"31. Borrowing less than $10,000 (buying car, TV, getting school loan, etc.): Time Period"
581,"31. Borrowing less than $10,000 (buying car, TV, getting school loan, etc.)"
582,32. Being fired from job: Time Period
583,32. Being fired from job
586,34. Female: Having abortion: Time Period
587,34. Female: Having abortion
588,35. Major personal illness or injury: Time Period
589,35. Major personal illness or injury
590,"36. Major change in social activities, e.g., parties, movies, visiting (increased or decreased participation): Time Period"
591,"36. Major change in social activities, e.g., parties, movies, visiting (increased or decreased participation)"
592,"37. Major change in living conditions of family (building new home, remodeling, deterioration of home, neighborhood, etc.): Time Period"
593,"37. Major change in living conditions of family (building new home, remodeling, deterioration of home, neighborhood, etc.)"
594,38. Divorce: Time Period
595,38. Divorce
596,39. Serious injury or illness of close friend: Time Period
597,39. Serious injury or illness of close friend
598,40. Retirement from work: Time Period
599,40. Retirement from work
600,"41. Son or daughter leaving home (due to marriage, college, etc.): Time Period"
601,"41. Son or daughter leaving home (due to marriage, college, etc.)"
602,42. Ending of formal schooling: Time Period
603,42. Ending of formal schooling
604,"43. Separation from spouse (due to work, travel, etc.): Time Period"
605,"43. Separation from spouse (due to work, travel, etc.)"
607,44. Engagement
610,46. Leaving home for the first time: Time Period
611,46. Leaving home for the first time
612,47. Reconciliation with boyfriend/girlfriend: Time Period
613,47. Reconciliation with boyfriend/girlfriend
614,48. Other recent experiences which have had an impact on your life. List and rate: Time Period
615,48. Other recent experiences which have had an impact on your life. List and rate.
616,49. Other recent experiences which have had an impact on your life. List and rate: Time Period
617,49. Other recent experiences which have had an impact on your life. List and rate.
618,50. Other recent experiences which have had an impact on your life. List and rate: Time Period
619,50. Other recent experiences which have had an impact on your life. List and rate.
620,"51. Beginning a new school experience at a higher academic level (college, graduate school, professional school,etc.): Time Period"
621,"51. Beginning a new school experience at a higher academic level (college, graduate school, professional school,etc.)"
622,"52. Changing to a new school at same academic level (undergraduate, graduate, etc.): Time Period"
623,"52. Changing to a new school at same academic level (undergraduate, graduate, etc.)"
624,53. Academic probation: Time Period
625,53. Academic probation
626,54. Being dismissed from dormitory or other residence: Time Period
627,54. Being dismissed from dormitory or other residence
628,55. Failing an important exam: Time Period
629,55. Failing an important exam
630,56. Changing a major: Time Period
632,57. Failing a course: Time Period
633,57. Failing a course
